"","year","pitch","pitch_count","sum_whiffs","sum_swings","sum_takes","sum_abs","sum_hits","mean_spin_rate","mean_velocity","mean_release_extension","mean_effective_speed","mean_eff_min_vel","mean_iso","mean_babip","mean_slg","mean_woba","mean_xwoba","mean_xba","mean_launch_speed","mean_launch_angle","ba","swing_percentage","whiff_percentage","contact_rate","take_percentage"
"21","2018","Cutter",40392,5129,20547,19845,9727,2451,2347.67689146366,88.6419959397901,5.9529238463062,88.326839473163,-0.317213804713805,0.156690879382056,0.298147058823529,0.410727396514161,0.314234650425827,0.314691820162408,0.250113388789859,86.847945137651,12.8127896613191,0.251979027449368,0.508689839572192,0.249622815982869,0.750377184017131,0.491310160427808
"22","2018","Fastball",250320,24027,117267,133052,52765,13743,2267.34825822947,93.1733756791307,6.15259024448706,92.9306214844998,-0.243418024928092,0.192897087727709,0.296646692233941,0.453034280121445,0.346148334132311,0.348571748162352,0.256360107062959,89.8108357302653,18.6125527325024,0.260456742158628,0.468468360498562,0.204891401673105,0.795108598326895,0.531527644614893
"23","2018","Sinker",140101,9300,63737,76364,33563,9553,2136.64521309627,92.176230005496,6.0637834847717,91.7588736697097,-0.416455985324872,0.153999100648818,0.305432131105417,0.438268870314987,0.346689930835611,0.350971213624457,0.278264701893634,89.2019328912713,6.21083432666433,0.284628906831928,0.454936081826682,0.145912107567033,0.854087892432967,0.545063918173318
"24","2018","Slider",120075,20442,57690,62384,29035,6050,2399.82386008745,84.3888086612534,5.77415581927962,83.6798512596294,-0.709503227149698,0.138952054965646,0.285213974599209,0.349016014990631,0.263818538413492,0.256198983968353,0.202872271496981,86.1002498438476,13.2847012283989,0.208369209574651,0.480449718925671,0.354342173686947,0.645657826313053,0.519541952946075
"25","2019","Change",78266,12365,40679,37565,20089,4726,1804.35119975468,84.5582130171467,6.07110405540081,84.3266281654869,-0.233315871515089,0.157201569008254,0.272296156696394,0.394083522857946,0.288699000843278,0.2937120460992,0.240653706590346,85.8201837323998,9.21172028722562,0.23525312359998,0.519753149515754,0.303965190884732,0.696034809115268,0.479965757800322
"26","2019","Curveball",62591,7811,25006,37585,13342,3028,2537.60960841016,78.5753926283331,5.68276381588407,77.6251929191098,-0.949278650285185,0.16003337540541,0.301359236950999,0.392647856720615,0.282797015545366,0.277313239922673,0.226318927641354,86.991562684731,10.4845185410043,0.226952480887423,0.399514307168762,0.312365032392226,0.687634967607774,0.600485692831238
"27","2019","Cutter",47244,5831,23509,23732,11109,2842,2359.44663872661,88.4125074083481,5.92352743205486,88.1494926339853,-0.264283295233258,0.173489755312844,0.295323109812886,0.430463148759631,0.3175550334434,0.318544153754974,0.253815489797646,87.52521166709,12.9066907967149,0.255828607435413,0.49760816188299,0.248032668339785,0.751967331660215,0.502328337990009
"28","2019","Fastball",260177,26572,123006,137148,54106,14411,2289.83744527764,93.4158941797315,6.15937477178997,93.304126383193,-0.111090142479927,0.218425979237212,0.304480588214946,0.484462692705351,0.352946198165095,0.353833336536281,0.259658182698701,90.2232403325428,18.7618459740869,0.266347540014046,0.472778147184417,0.216021982667512,0.783978017332488,0.527133451458046
"29","2019","Sinker",117283,8170,54174,63106,28232,8315,2153.29392154021,92.5195322425245,6.08196763384293,92.2463310113145,-0.274880417451805,0.179497898246123,0.314574286128424,0.474810620465029,0.357505427043988,0.358763000605373,0.286473043834145,89.4180188092051,5.78220543471773,0.294523944460187,0.461908375467885,0.150810351829291,0.849189648170709,0.53806604537742
"30","2019","Slider",127489,22083,61882,65602,30557,6609,2430.60909568669,84.6391610256571,5.76546988367624,84.0114920502945,-0.630559499250916,0.162487744040662,0.284913725890077,0.378852740236413,0.273656017381892,0.269237032214544,0.210196479696288,86.743199021092,13.7867776827805,0.21628432110482,0.485390896469499,0.356856598041434,0.643143401958566,0.51456988446062
"31","2020","Change",29781,4813,15129,14649,7579,1737,1763.47714986065,84.4547228098452,6.3001850172929,84.342940801182,-0.109435546153588,0.149173231254827,0.267142036869145,0.377821799133676,0.285781303515664,0.297042879688392,0.241250327389947,85.1129042006648,7.55941372015715,0.229185908431191,0.508008461770928,0.318130742283033,0.681869257716967,0.491890802860884
"32","2020","Curveball",22128,2776,8547,13581,4595,979,2559.9095263919,78.4542932031815,6.2351595263919,78.0912879609544,-0.360181670281995,0.154611216558207,0.293514144974693,0.372737301156905,0.277104663774403,0.274299349240781,0.216848246565437,85.7914994577007,11.7149358279103,0.213057671381937,0.386252711496746,0.324792324792325,0.675207675207675,0.613747288503254
"33","2020","Cutter",18111,2363,9042,9067,4177,1088,2380.97432499586,88.1948263486279,6.31630169510242,88.3911854673955,0.19008337474463,0.177949643862846,0.299569985091933,0.438488377229308,0.328227430843134,0.324520512395782,0.253956159240241,86.3032521671912,13.1916404395119,0.26047402441944,0.499254596653967,0.26133598761336,0.73866401238664,0.500634973220695
"34","2020","Fastball",87826,9218,40780,47042,18447,4701,2305.77724136361,93.3341926081115,6.38175403639014,93.3411061644616,0.00394871678090756,0.206981725229431,0.291766162639765,0.460999533167855,0.348505806936443,0.355013811399813,0.25487672215517,90.3676690273951,19.2769942841528,0.254838185070743,0.464327192403161,0.226042177538009,0.773957822461991,0.53562726299729
"35","2020","Sinker",40385,2782,17948,22433,9482,2711,2157.85489662003,92.7567537452024,6.32532772068837,92.6589298006686,-0.0969543147208119,0.158806140893896,0.313821517890306,0.446219636003467,0.355623895010524,0.361377491642937,0.285076092608642,88.8112046551938,4.88748792868639,0.285910145538916,0.444422434072056,0.155003342990862,0.844996657009138,0.555478519252198
